Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36014145,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""0143110918""","=""9780143110910""",4,4.41,Penguin Books,Paperback,800,2018,2017,,2024/02/15,to-read,to-read (#8),to-read,,,,1,0
58624556,CompTIA Security+ Get Certified Get Ahead: SY0-601 Study Guide,Darril Gibson,"Gibson, Darril",,"=""""","=""9798748708180""",4,4.62,Independently published,Paperback,593,2021,,2023/10/10,2024/02/15,,,read,,,,1,0
52588018,The Pentester BluePrint: Starting a Career as an Ethical Hacker,Phillip L.  Wylie,"Wylie, Phillip L.",Kim Crawley,"=""1119684307""","=""9781119684305""",4,4.15,Wiley,Paperback,192,2020,2020,2022/02/18,2024/02/15,education,education (#3),read,,,,1,0
41633563,"Basic Security Testing With Kali Linux, Third Edition",Daniel W Dieterle,"Dieterle, Daniel W",,"=""1725031981""","=""9781725031982""",4,4.55,CreateSpace Independent Publishing Platform,Paperback,426,2018,,2020/08/04,2024/02/15,education,education (#5),read,,,,1,0
21419959,Red Team Field Manual,Ben Clark,"Clark, Ben",,"=""1494295504""","=""9781494295509""",4,4.22,CreateSpace Independent Publishing Platform,Paperback,96,2014,2014,2022/06/09,2024/02/15,education,education (#2),read,,,,1,0
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.42,Tor,Kindle Edition,448,2016,2016,2023/05/16,2023/05/16,,,read,,,,1,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",5,4.62,Tor Books,Hardcover,1219,2020,2020,2023/05/16,2023/05/16,deep-character-building,deep-character-building (#16),read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""076532637X""","=""9780765326379""",5,4.62,Tor Books,Hardcover,1243,2017,2017,2023/05/16,2023/05/16,deep-character-building,deep-character-building (#15),read,,,,1,0
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378558""","=""9780765378552""",4,4.28,Tor Books,Hardcover,383,2015,2015,2023/05/16,2023/05/16,,,read,,,,1,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",5,4.76,Tor Books,Hardcover,1087,2014,2014,2023/05/16,2023/05/16,deep-character-building,deep-character-building (#14),read,,,,1,0
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",4,4.21,Tor Books,Hardcover,332,2011,2011,2023/05/16,2023/05/16,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",4,4.53,Tor Books,Hardcover,572,2008,2008,2023/05/16,2023/05/16,,,read,,,,1,0
16192263,"Violent Python: A Cookbook for Hackers, Forensic Analysts, Penetration Testers and Security Engineers",T.J. O'Connor,"O'Connor, T.J.",,"=""1597499579""","=""9781597499576""",4,4.03,Syngress,Paperback,288,2012,2012,2024/02/15,2024/02/15,education,education (#6),read,,,,1,0
12829147,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,"Mitnick, Kevin D.","Steve Wozniak, William L. Simon","=""0316037729""","=""9780316037723""",5,3.95,Back Bay Books,Paperback,448,2012,2011,2024/02/15,2024/02/15,,,read,,,,1,0
18118111,Computer Organization and Design MIPS Edition: The Hardware/Software Interface (The Morgan Kaufmann Series in Computer Architecture and Design),David A. Patterson,"Patterson, David A.",John L. Hennessy,"=""0124077269""","=""9780124077263""",4,3.97,Morgan Kaufmann,Paperback,800,2013,1993,2024/02/15,2024/02/15,education,education (#7),read,,,,1,0
36900046,Social Engineering: The Science of Human Hacking,Christopher Hadnagy,"Hadnagy, Christopher",,"=""111943338X""","=""9781119433385""",4,3.83,Wiley,Paperback,320,2018,2010,2021/02/15,2024/02/15,education,education (#4),read,,,,1,0
7743175,"A Memory of Light (The Wheel of Time, #14)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765325950""","=""9780765325952""",5,4.56,Tor Books,Hardcover,912,2013,2013,2023/02/15,2023/05/16,deep-character-building,deep-character-building (#13),read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,4.66,Tor Books,Hardcover,1007,2010,2010,2022/02/15,2023/05/16,,,read,,,,1,0
